ncpr,kappa
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.33,0.0
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.07
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.17,0.09
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.25,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.06
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.17,0.08
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
-0.08,0.13
