S1_mean,S2_mean,S3_mean,S4_mean,S5_mean,S6_mean,S7_mean,S8_mean,S1_cov,S2_cov,S3_cov,S4_cov,S5_cov,S6_cov,S7_cov,S8_cov,ncpr,kappa
367.3397285719245,150.09557904159442,67.81293437450721,33.60985509417612,22.018339405127367,15.132128106587631,11.46864087445649,8.89048941085993,3657.909016905564,1058.2800079236915,465.78225462187174,290.3344640545075,244.1326401248923,128.19551489064142,131.5023199496909,83.64535492422803,0.07999999821186066,0.3799999952316284
358.570828523728,139.6702270007314,69.01206273474938,33.66238302959146,22.256407202643622,15.073525960322065,11.471521952976785,8.947015040628811,3852.893861369882,911.6217358140763,456.3571956368938,315.9624884085164,231.0725617864137,147.3346597786684,134.40124191185004,88.4057785036026,0.0,0.3199999928474426
364.88312519682285,146.65832059837092,68.54335154519089,33.599808187608055,22.172279874819857,15.100353136429993,11.503069210839813,8.945635560363932,3527.1549447560874,1061.5560477769548,448.24844039262365,299.56423177804425,250.57849137749298,136.4941837032239,132.33492843665516,87.09532153312944,-0.07999999821186066,0.3799999952316284
360.9682371701672,141.64584940145272,69.3732721315078,33.719120069936295,22.33658537799326,15.023894352715626,11.451055465703543,8.900943164731691,3554.551208357641,976.9757591839342,481.1579881260432,305.77092555013144,220.0645713597335,131.89746184131644,144.01251941029182,85.13285457092299,-0.07999999821186066,0.30000001192092896
359.70850608980913,140.14696102311848,69.44578818576916,33.76978521014397,22.32427196263413,15.085519156920908,11.589830392148265,8.939569871464355,3611.980371376843,1015.4157612427773,446.72409999320035,311.8370355614407,241.98559859930293,140.95104941383858,141.63290874532697,89.70795543531342,-0.07999999821186066,0.3100000023841858
361.16540182953,141.72277884809267,69.3918095073728,33.85527955155458,22.229937365507155,15.099678547576028,11.51247754738413,8.88324689684879,3545.157312250472,1090.5681192772308,438.4585753885475,309.5443219552121,215.9224442070212,138.39212322581375,144.58772085831856,87.96352917442184,0.07999999821186066,0.30000001192092896
355.84746377387427,136.87379873505725,68.86956963972361,33.84062184292063,22.281672679708986,15.198896703673064,11.441220933455654,8.923836327429454,3653.619917319232,926.3630223157461,449.3954809057024,323.66850702683786,233.3338515776728,127.6545558512608,145.90600030253873,86.98570462190193,-0.07999999821186066,0.38999998569488525
363.38200316203313,144.7005616520842,68.92074480257263,33.5965650594188,22.289113777228156,15.089388768188996,11.428803846705188,8.869921832966467,3575.031139412598,981.5939758810739,477.75088497285464,309.0517756512674,229.62764833344724,132.60924320027425,138.08217021355185,83.18070371548974,0.0,0.38999998569488525
358.4870156777759,138.8119576941351,69.45425601653598,34.02064230659464,22.309634992877637,15.125360606009657,11.55083029924886,8.881530862625246,3641.3517813424883,994.9267229403385,457.3055922004556,295.4565899737201,227.1244380582596,130.05034250437083,139.73171344749628,82.96406269114728,0.0,0.30000001192092896
361.541694303342,141.98188431199412,69.43792448288497,33.88035075070058,22.279954097594597,15.117593525914168,11.506851370265027,8.897496663828983,3537.2067852413034,1045.7470838594575,440.737352122978,296.5884871397636,237.14299594483518,133.13361652469897,140.6722785710518,92.80715153884074,0.07999999821186066,0.3100000023841858
358.1710373982909,138.58754721002288,69.43025199602299,34.01969635497606,22.24160168667688,15.123949677685072,11.447633445214516,8.937566324978919,3604.5369775475733,1065.2535916308727,445.74534304117674,314.87320879068574,240.38328414263003,138.90106222943464,157.4288678437007,86.38797766981695,-0.07999999821186066,0.38999998569488525
361.08586995108135,141.3866238837949,69.56361616203732,33.92804054234873,22.316696080913637,15.119062292815155,11.440621733431335,8.918254044919605,3872.1436388240927,1041.64397587816,448.04846671284844,310.83791290362007,227.69916492691672,135.57615553542206,139.88363334585293,85.52696807578114,0.0,0.38999998569488525
356.67071531225764,137.26521177555523,69.18720289517375,33.90251883730476,22.361244027140362,15.074917334252449,11.51997064679189,8.959003115188679,3598.63690061304,1006.8934504594824,454.32410571802194,323.57821704348777,222.18964990034007,133.694887763698,144.61402562889444,88.95247917894103,0.0,0.38999998569488525
362.7105211826523,144.20067114982655,68.694563086228,33.75453899554405,22.12688893370748,15.168403060262868,11.42882802810673,8.890788542912277,3600.589149551465,1013.722785024891,459.61302138358155,293.67622045689694,231.24216642881197,124.22220855584186,134.57720159789932,90.48970218083592,0.0,0.38999998569488525
359.5654437007716,139.86384647535442,69.57262249943584,33.8907166904496,22.337406184405733,15.189612357830145,11.446174682984442,8.87292832882653,3796.045961097103,1001.4870025797818,439.88746722230235,319.0350223940473,234.11379240127317,140.05383952220257,145.84539673279542,82.5676577519612,0.0,0.30000001192092896
362.00744349004117,142.66941244372185,69.25588803997192,33.897505610203964,22.309045481290603,15.062893631095237,11.585925125771277,8.930427842030362,3633.2612950723255,1025.37400214011,450.1615088024178,321.8195702381058,234.84932769120192,124.90630353968606,142.51122457713564,83.86147736421817,-0.07999999821186066,0.3199999928474426
358.9237477705816,139.40837586295717,69.34115133599123,33.9177463480771,22.37169232675843,15.088923774005531,11.468492120472861,8.94849688365128,3726.4793446540275,992.6982837129474,451.12654998262866,315.8784176575619,232.0933028904265,142.27689387784815,144.22911780245025,88.54508183419418,-0.07999999821186066,0.30000001192092896
365.2260001075292,147.38229939620382,68.2331888450202,33.437370564040506,22.226395538171243,15.181218818977175,11.500713418419268,8.860274002112348,3661.7499816230793,980.9483333425586,428.2675866574189,293.48253514810176,250.18663036198896,133.24085878967557,137.301361249675,85.93229250508342,0.07999999821186066,0.3199999928474426
360.67606891633477,141.21076903028944,69.32959885819763,33.88301827729897,22.28720918306613,15.04140802850545,11.593806440376866,8.895812912000164,3695.336879137578,1033.489811466927,441.0112154669376,311.431827687676,223.86815551970352,129.77858412992123,135.96976069683703,85.5842907505003,-0.07999999821186066,0.3199999928474426
357.38059316083485,138.1534383849992,69.16496105625876,33.83360213185887,22.258392582899436,15.183164990288299,11.519817837598014,8.92965032178961,3635.116455561987,1057.4844259092313,436.87582568798547,326.4549391073847,223.5156756960634,133.47184212962523,145.43476310269958,87.5113159529475,0.0,0.38999998569488525
359.63960030580614,140.30297032372908,69.32753824334227,33.804557208016334,22.308232888922497,15.05416049385392,11.491891139181652,8.973410841998936,3625.429275745253,997.2768535760767,457.64119916616534,314.2430302791332,248.34585064540764,147.05470761839467,144.86642988719302,74.5819681604333,0.0,0.3199999928474426
358.1513496147396,138.4302378828559,69.53220097426139,33.883592652539036,22.371378997023037,15.146661392280919,11.52562987402438,8.942862135029154,3770.444989578422,1005.092911391565,431.881854588461,304.2888303564034,234.3707295256599,130.07540164599826,160.13224311852557,82.25896577939666,-0.07999999821186066,0.4000000059604645
362.8851041759627,144.16361761394847,68.9309773026283,33.79791799800208,22.188480661430734,15.13883085428549,11.497125120822652,8.843261901021675,3662.9450338163765,995.4174731650023,439.19498784159657,306.60233081575103,237.4277641716126,128.6930399900062,140.29521704898497,79.08454403250524,0.0,0.3100000023841858
371.04048375431853,154.4220929881286,67.82192618916984,33.26748284357818,21.790406568699307,14.979980982677658,11.436155181597393,8.823161011807985,3395.0663592740248,958.4139826206273,444.3758990254935,284.53538861735694,233.8478889014265,139.1604607874247,131.553566069995,86.15824381254292,-0.17000000178813934,0.30000001192092896
361.1700736552974,141.83347674854093,69.29284607193588,33.810136186341936,22.260085150941823,15.164365106895264,11.497902890966264,8.889429591232707,3700.4277476580028,962.1550281970115,460.364885893933,310.3731794326233,249.3559334085753,138.75042696633423,141.07679823251783,84.87373479252577,0.07999999821186066,0.38999998569488525
375.48160834823136,158.7759325035454,67.71837509319077,33.414352893254296,21.835442573391152,14.899162760476374,11.404137393463166,8.962235361365991,3471.8378210023825,943.6222628364976,448.4738626947572,274.5644293187528,246.4759419728005,141.73519131825864,127.11921603375802,94.43734877683534,0.25,0.30000001192092896
358.94514142682976,139.64089497786486,68.99661829821405,34.09620402941919,22.206896236706893,15.123588655020836,11.568122770763026,9.021283579189442,3639.289745086368,1019.94730930924,461.15423808296254,311.67929022480706,230.1617513755594,144.03613685098787,147.0523850025797,85.3090138979285,0.0,0.38999998569488525
358.180769477379,138.78622895137323,69.3843138930902,33.83686973168041,22.276424503380444,15.106093511578083,11.482787803602093,8.910047322256046,3756.9524898571185,1039.8706502716275,423.3460411594795,320.9700925779959,233.99651300647585,124.91745286662109,145.00851830389783,85.13421523660232,-0.07999999821186066,0.4000000059604645
361.87793279872386,142.780489680692,69.14108805413136,33.833440079491425,22.210077798167358,15.141375852303288,11.45063311840349,8.910728579912568,3529.029347622538,1105.1831415920722,401.65322056618345,312.6209092401654,230.31667860344155,137.4892757128951,148.4861184372453,77.88481533142807,0.0,0.3199999928474426
360.8864184791888,141.46046861586123,69.3354994816377,33.950563906733784,22.22767066742335,15.163390499783175,11.521569904223746,8.875942045535748,3747.0197360396173,994.4459960289292,440.517189091921,309.50478428856815,233.83030703655962,126.34571154230277,138.1753539417905,83.17058414897119,0.07999999821186066,0.30000001192092896
366.24676344113254,148.66684235280675,68.30704161850663,33.13708918867479,22.132060976222192,15.126927086810802,11.420011533463185,9.035903781507864,3484.294305205789,1040.8999854225033,443.18199859422816,294.3995750692237,240.5162840321543,138.35357199266582,139.60998583427448,95.83560254802418,-0.17000000178813934,0.30000001192092896
355.2035053382606,136.13568045061524,69.18982079760625,33.76891777662395,22.206641574947945,15.146226611881904,11.453130159821361,8.918012216948467,3662.2776801133873,1051.6803212496372,424.0581484142648,315.2748172093649,240.21594955726047,141.76537901122822,141.27699613268672,86.01994550188833,0.0,0.4000000059604645
365.4183718005853,148.0849631941062,67.84323252184961,33.63744233790572,22.00884644987765,15.030054408871326,11.460376379947393,8.824714795284065,3601.3867539940275,1080.3593068598295,459.65016491559504,296.47617788117276,231.9641180226316,141.1951484502731,137.5784726414776,83.79291121442765,0.0,0.3199999928474426
375.17894598753867,159.02998403778594,67.58869010990846,33.147813159560016,21.71687159407691,15.000602649600038,11.387432582757164,8.896927778759984,3307.016723470965,1038.141943943252,448.24119188346145,274.1498832065118,239.55914550190593,135.7467687037301,125.23202538097908,89.62781004130305,0.17000000178813934,0.30000001192092896
364.95566884117403,147.41346696319275,68.09049841559738,33.41632416907958,22.115046770562085,15.044153382603868,11.501980151607937,8.88973723175603,3658.8105848467917,989.9534372333444,439.0213716064356,305.09351201548355,232.76715819231325,139.5074440948011,145.11434508235058,84.26537822135822,-0.07999999821186066,0.30000001192092896
364.25709148769766,145.91335393927764,68.79002639664614,33.53321860542802,22.139863615366068,15.087858617485615,11.444152703602656,8.883418954087073,3801.1388350425755,953.0396346806358,446.15247878017465,294.19645087414574,231.04812769077486,125.91787263311382,138.25104303280932,84.7495339425402,0.0,0.30000001192092896
356.8265904629939,137.33838787489506,69.51400004177724,33.83262462742117,22.30130874852991,15.117724299554833,11.4452736695165,8.908555799829703,3815.7850881394183,985.3827430460824,431.3274842067538,314.58480010448596,236.37467758668234,134.66497296783962,142.8361630679987,86.37114086559208,-0.07999999821186066,0.38999998569488525
362.6307746724579,143.93230792947543,68.78176130147905,33.694726757949276,22.151885282094206,15.216365966869281,11.458661850241953,9.002453758144448,3578.422034996492,1000.2542451460653,459.8009791953578,302.9176703684118,236.0278151047782,136.6087707891316,148.31018066331677,89.99144870918232,-0.07999999821186066,0.4000000059604645
357.94059047715,138.37018154703154,69.45615858458066,33.982528273363535,22.21031041216481,15.06797659281401,11.548423488506918,8.910989428178043,3738.8319866546385,959.4866611358757,431.91056077009296,308.6873683833876,249.15044494130572,133.2894575879944,149.88021625399682,86.63945027649075,0.0,0.3199999928474426
358.6185112873667,139.34350737239794,69.2817010823884,33.83022634416151,22.213337168790108,15.122200482730525,11.513586175328285,8.851185952280614,3451.7815004086424,978.3756477498983,473.99329466862065,315.52256613792235,235.99443870347986,137.26255612337974,141.42763149383043,90.28535027023327,0.0,0.38999998569488525
368.19803654775063,151.86214449971385,66.80883945413427,33.505777930398104,21.98606079632574,15.142864723335952,11.459369772161441,8.824170673683986,3427.576783437566,991.0955550186591,465.36304176572406,282.3057116420493,231.37204857124158,140.49177717392746,132.2156471291159,84.71362471767404,0.07999999821186066,0.30000001192092896
365.1334326016039,147.10999753725145,68.31626348854527,33.537378933243694,22.116255281627776,15.163435361458097,11.461061944260933,8.93478178069178,3694.8657724482946,1022.2275874356956,441.9611210304653,300.8478475409238,253.30663885186644,131.8526084536291,135.2417519095626,87.32176854985659,0.0,0.3100000023841858
362.3785743499005,143.0928528806584,69.29428010245591,33.70338099682034,22.348849684975765,15.078183281995162,11.517305186767741,8.949718221543028,3561.226181530628,1052.7252795576005,417.4355025851186,311.4051854601211,215.14985724882308,139.4913948731284,149.18966112434413,91.59493922397935,-0.07999999821186066,0.38999998569488525
364.6118680101345,146.31028719461358,68.48756130397256,33.75408744526992,22.18550014618156,15.105185912431162,11.446456481133133,8.89108617071733,3615.0454759580593,1005.5036470418381,465.8201312246614,301.72013166145183,226.0970356994349,131.64985184451888,138.14733746938074,87.01420549363365,0.0,0.38999998569488525
361.1717017452553,141.74598812938385,69.24056722598448,33.93597061712023,22.283857852962683,15.104002008261732,11.536791503048821,8.913123371645824,3817.318940721751,995.8160619953909,471.7325811563339,301.58683914469276,239.79288008822948,141.60843522055802,145.86894593245094,83.50772506064276,0.0,0.38999998569488525
366.9618046051599,148.60870618232892,68.94150868417393,33.40126958168107,22.110448770143993,15.05683910904882,11.478701861573516,9.037141100005288,3526.8186220373523,987.2671410196402,487.00323350645783,304.2026163646926,222.22400191977877,133.80096646782823,134.0268085660681,85.9306743092277,-0.07999999821186066,0.3100000023841858
362.0322403841962,142.6900066651808,69.18939170454938,33.80862459426573,22.332617396537334,15.24989426178745,11.42543671242287,8.98644274402699,3756.274759696786,1038.5241359241518,434.9116885598403,310.7466933218696,233.66870697704107,129.8532420562679,147.8868404378566,84.32094730445012,-0.07999999821186066,0.4000000059604645
362.6758444222048,143.75961699267455,68.81265324494294,33.811023083235845,22.404084753720927,15.11181499143623,11.39316530730356,8.854122936203057,3511.3268138146886,1079.8183737093113,471.3901462696254,303.8761223137268,234.49007292666812,123.97291801025008,144.36080526583135,84.79081619635659,0.07999999821186066,0.4000000059604645
367.5357087460135,149.8874594631598,68.44353265505758,33.14437045266904,22.183441820110936,15.106652220999083,11.418399031408944,8.904886610249788,3475.2256696340264,939.1443604595414,434.64783041658717,291.34254113934367,251.69798062854545,130.3386684402959,145.16132710395354,85.62764645493006,0.17000000178813934,0.3799999952316284
362.8072695411883,143.97737950002727,68.89827528391436,33.97370126935744,22.018526991386935,15.080489895261925,11.495665305077129,8.90159810383722,3687.562376694698,1019.5694246684928,449.7614978349047,308.94912388716915,229.94255428242053,138.54426909023206,131.74628073745419,80.54497203657729,0.0,0.30000001192092896
367.17733644300665,149.0928586653634,68.77523844155978,33.313001883554556,22.18254560542923,15.040756535400291,11.494674072922052,8.91525487157825,3545.672447723223,1051.6178919645251,446.8973960696149,278.50255713329403,229.4394797949807,134.14206592320346,136.6275216596149,83.1774654690417,0.07999999821186066,0.3100000023841858
358.2601005791324,138.77312641779505,69.29756008924473,34.00711674918943,22.2477026813253,15.054652172081408,11.457503768514277,9.012108216005087,3682.138090087301,983.3079745129617,420.13139403246316,312.5661865680019,228.05510747036257,133.07274983605552,147.4378036249058,91.91734833381378,-0.07999999821186066,0.38999998569488525
358.3092208650182,138.82696052305153,69.41207096506577,33.74707710194583,22.398999503929875,15.196325550539996,11.492911851786104,8.881109991099853,3563.55993347338,1116.9105447862414,424.371677539863,304.9285356865791,222.9394363444432,127.09449857798464,144.09271192906414,82.0624806722427,-0.07999999821186066,0.4000000059604645
361.27408230331554,141.69110688858564,69.61565946176354,33.86634604617241,22.268399364440832,15.010254901439781,11.46032291741021,8.94901006535691,3702.188898996716,959.1032475353946,440.3325294589595,311.01240353130385,214.93819891713153,137.78038299376783,138.88265553147278,93.60695896744343,0.0,0.30000001192092896
360.25061920983603,140.48496737196487,69.69839790843571,33.81161681108262,22.29105437599153,15.141241302121038,11.479728023085752,8.876939758928238,3479.0381379085243,1028.3693718782672,464.8574084367519,318.4754886659802,231.52914557919826,133.0743075591737,141.55846134115154,85.41654769266013,0.0,0.38999998569488525
360.178325501403,140.87346966467507,69.15617152896326,33.962565877560834,22.282956040594424,15.167678730813908,11.430674797229303,8.910705170497282,3867.9827053056515,1002.9472270876744,421.18541163814854,320.4975435945221,228.71619411789553,134.68018331525064,144.74973323603214,86.73698110581117,-0.07999999821186066,0.4000000059604645
363.81938850831176,145.50145637921966,68.57723493411915,33.48389834479609,22.3703395598364,15.285455199398434,11.436247872973702,8.77756424929976,3646.1734571303737,988.0708279521609,464.73708248101406,307.2084078455449,230.57319071678418,133.28907134373006,133.45724145469438,85.20469504178836,0.07999999821186066,0.38999998569488525
