S1_mean,S2_mean,S3_mean,S4_mean,S5_mean,S6_mean,S7_mean,S8_mean,S1_cov,S2_cov,S3_cov,S4_cov,S5_cov,S6_cov,S7_cov,S8_cov,ncpr,kappa
372.50006509918757,156.48779360458502,67.47382906356194,32.84047168727554,21.972354694784876,15.012515893062478,11.408185146861054,8.859309336684703,3610.638810707708,1114.749447450157,476.4365003465414,270.4409652449282,238.90680009293146,138.95099661989082,131.07265673319498,87.60721910453253,0.07999999821186066,0.20000000298023224
365.38060568445536,146.1052051030616,69.47482423167978,33.578382194431036,22.268897143337206,15.179131057597758,11.3857942428096,8.886759029375792,3740.6249925513844,1032.1026785766887,451.1538906831427,295.03630689202953,246.9220066117474,128.9047898779985,146.61118624402155,83.41052390318144,0.0,0.20000000298023224
368.53658905576333,149.93779140578405,69.03655313031145,33.632737599628385,22.13031364330223,15.149396482942501,11.443397276877885,8.79068989167516,3533.6576350889136,959.7434277304562,445.30708586627713,295.1399217267234,229.41388692670884,139.3445476375101,142.58360342333083,80.12964351370476,0.0,0.10999999940395355
367.9323542213522,149.68677868643312,68.59866837121228,33.77558553458728,21.969597619110786,15.181432319159931,11.524401667226998,8.881394639993486,3682.065248115906,1019.9047769375486,442.41147328536476,295.8635112570755,215.29768138351224,136.1230808314908,142.3292726932572,87.9501048736761,0.0,0.20000000298023224
377.0239136912912,160.2262772136522,67.79665383308405,33.18954531505708,22.014855120561325,15.132179548269983,11.416047059352168,8.928558438650303,3184.3684734766102,964.357901551953,464.56717507442784,276.6613561723342,226.54274859373294,136.63150453111808,131.01814225797395,89.92201649920266,0.17000000178813934,0.1899999976158142
363.9559916951597,145.2962519794903,68.5201116394537,33.952949165243005,22.25266292573577,15.188394957969052,11.438661614692748,8.998975646865999,3721.774127412941,1029.6286828106481,452.62813048468246,293.18455380291937,230.5894391324265,135.9591303050983,153.0776060746708,82.01483772380278,0.07999999821186066,0.20000000298023224
376.08359725133425,159.4033618965801,67.9474358241301,33.15372999787625,22.003790275983135,14.985542266506847,11.343497867389347,8.922758588470224,3503.0058510864737,1024.877764121998,466.79571133253444,274.5899544203164,237.36873443165425,133.69324633953732,127.49806927165082,87.15015229131257,0.17000000178813934,0.20000000298023224
367.5433259033468,149.1244595792473,68.88031510776148,33.70718238288766,22.05389596610292,15.11588706963087,11.400884138699602,8.890363997570518,3401.9243748170347,989.8905338380997,454.44713024524987,291.8750386897479,230.4045197492388,131.39230815790984,131.4603365948058,83.26187511163756,-0.17000000178813934,0.20000000298023224
363.95540174291705,145.41694816436197,68.70219841130675,33.85186793280356,22.155714342873733,15.002546156468615,11.527196280674705,8.972648736358641,3723.587486860061,936.7013718600401,438.5041028187289,293.65148227250035,220.6103748719534,130.7313698457153,143.4841965300699,74.71725678694018,-0.07999999821186066,0.1899999976158142
364.333982070859,145.41284112824025,69.29609746236684,33.68780459134513,22.13722347789102,15.099902209066844,11.430994953052908,8.845607467244703,3531.4599990190063,908.326241196808,457.911553130804,319.4469867422001,230.3359164959334,129.0502940703387,142.52284851852815,84.22179248809051,0.07999999821186066,0.1899999976158142
380.6517937068236,163.1231117421976,68.86111085999333,33.27848522015596,21.827229702837585,15.037420518829315,11.383864878379613,8.813810335133459,3398.357687072202,1016.7295472215146,469.07195194216047,272.52127769925085,224.7369988108275,133.40591591639858,129.85602474699274,80.73416628909594,0.25,0.1899999976158142
388.0361362005252,169.02528758356996,70.1386131552414,33.52761442945965,21.856028937052344,14.953301402602644,11.395601236980921,8.883550251799917,3577.548001109009,938.8173199273244,428.1257568297056,255.35666511240217,218.71791816501516,128.26792640479113,128.0078881567844,81.99929377372942,0.25,0.10000000149011612
368.5440306739224,150.78291097053233,68.14588795256998,33.680658485318105,22.124579407088493,15.068171533034182,11.488311141547436,8.906093884197508,3652.668594313507,1053.0304500027169,472.53261372654265,284.8097407474502,243.87220303218638,135.14219043553814,142.02686847343952,84.31821573409977,0.0,0.10000000149011612
