ncpr,kappa
0.0,0.19
0.08,0.11
0.08,0.35
0.04,0.14
-0.04,0.02
-0.08,0.06
-0.12,0.21
-0.04,0.04
0.12,0.22
-0.04,0.2
-0.17,0.09
0.0,0.73
-0.08,0.38
-0.04,0.06
0.08,0.03
0.12,0.13
-0.12,0.79
0.04,0.08
0.0,1.0
-0.17,0.17
-0.04,0.05
0.08,0.24
-0.17,0.17
-0.04,1.0
-0.04,0.03
-0.04,0.99
0.0,0.06
-0.08,0.2
-0.08,0.06
0.04,0.17
